source_index,proposition_id,house,type,number,year,title,old_severity,old_structural_type,old_assessments,issues,action,proposed
172,alrs:cria-o-fundo-estadual-de-quali,alrs,pl,1,2026,"Cria o Fundo Estadual de Qualificação e Trabalho do Rio Grande do Sul - FEQUAT/RS, o Conselho Estadual de Qualificação e Trabalho do Rio Grande do Sul - CEQUAT/RS e altera a Lei nº 14.040, de 06 de julho de 2012, que institui o Fundo Estadual de Apoio à Inclusão Social e Produtiva – FEAISP.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
173,alrs:disp-e-sobre-a-pol-tica-e-o-si,alrs,pl,1,2026,"Dispõe sobre a Política e o Sistema de Gestão do Patrimônio Imobiliário do Estado, suas autarquias e fundações, institui o Programa Permanente de Aproveitamento e Gestão Eficiente de Imóveis Públicos e dá outras providências. (SEI 9639-0.100/21-2)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
174,alrs:institui-o-programa-polinizar,alrs,pl,1,2026,Institui o Programa ”Polinizar Cidades” no Estado do Rio Grande do Sul. (SEI 16604-01.00/23-4),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
175,alrs:altera-disposi-es-da-lei-n-7,alrs,pl,1,2026,"Altera disposições da Lei nº 7.669, de 17 de junho de 1982 – Lei Orgânica do Ministério Público do Estado do Rio Grande do Sul, e dá outras providências. (SEI 
4852-0100/21-7)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
176,alrs:disp-e-sobre-a-vac-ncia-dos-ca,alrs,pl,1,2026,"Dispõe sobre a vacância dos cargos de Delegado de Polícia da 4ª Classe, de Comissário de Polícia e de Comissário de Investigação Policial cujos ocupantes preencherem a totalidade dos requisitos para aposentadoria especial voluntária, na forma da Lei Complementar n° 15.453/2020, e permanecerem no serviço ativo, para fins de promoção na carreira.",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
177,alrs:disp-e-sobre-o-aux-lio-refei-,alrs,pl,1,2026,Dispõe sobre o auxílio-refeição dos servidores do Poder Executivo do Estado do Rio Grande do Sul. (SEI 15125-0100/23-2),3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
178,alrs:cria-e-extingue-cargos-no-mbi,alrs,pl,1,2026,Cria e extingue cargos no âmbito do Poder Judiciário Estadual e dá outras providências.,4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
179,alrs:altera-a-lei-n-15-988-de-7-,alrs,pl,1,2026,"Altera a Lei n.º 15.988, de 7 de agosto de 2023, que consolida a legislação relativa às mulheres vítimas de violência no âmbito do Estado do Rio Grande do Sul. (SEI 16489-01.00/23-6)",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3 | DUPLICATE_OF_CANONICAL_MATTER,REMOVE_DUPLICATE,"{""canonical_key"": ""alrs|pl|554|2023""}"
180,alrs:institui-a-lei-helena-maffini-,alrs,pl,1,2026,"Institui a Lei Helena Maffini e estabelece procedimentos a serem adotados nos casos de perda gestacional, natimorto e perda neonatal nos serviços públicos e privados de saúde contratados ou conveniados que integram o Sistema Único de Saúde (SUS), bem como conscientizar e orientar os profissionais de saúde e a sociedade sobre a importância e a sensibilidade do assunto no âmbito do Estado do Rio Gra",3,budgetary,"[{""group"": ""saude_usuarios_sus"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:saude_usuarios_sus | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
181,alrs:institui-o-dia-do-policial-mil,alrs,pl,1,2026,"Institui o Dia do Policial Militar Rodoviário no Rio Grande do Sul e dá outras providências.(SEI 
4735.0100/20-5)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
182,alrs:altera-a-lei-n-9-672-de-19-d,alrs,pl,1,2026,"Altera a Lei nº 9.672, de 19 de junho de 1992, que dispõe sobre a composição, o funcionamento e as atribuições do Conselho Estadual de Educação. (SEI 16380-0100/23-3)",3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
183,alrs:institui-a-pol-tica-p-blica-es,alrs,pl,1,2026,"Institui a política pública estadual “Programa Estadual Permanente de Conscientização e Combate à Violência Contra as Mulheres Agentes de Segurança, de Trânsito, de Vigilância e de Segurança Patrimonial” no estado do Rio Grande do Sul e dá outras providências.",4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|201|2024"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
184,alrs:disp-e-sobre-a-utiliza-o-de-a,alrs,pl,1,2026,Dispõe sobre a utilização de assinatura eletrônica pelo DETRAN/RS no âmbito do Estado do Rio Grande do Sul.(SEI 9305-01.00/23-8),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
185,alrs:altera-a-lei-n-13-320-de-21-d,alrs,pl,1,2026,"Altera a Lei nº 13.320 de 21 de dezembro de 2009, que consolida a legislação relativa à pessoa com deficiência no Estado do Rio Grande do Sul. (SEI 4790.0100/20-2)",3,structural,"[{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|176|2019"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""pessoas_com_deficiencia"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
186,alrs:altera-a-lei-n-13-268-de-22,alrs,pl,1,2026,"Altera a Lei n.º 13.268, de 22 de outubro de 2009, que estabelece Plano de Carreira para os servidores do Quadro de Pessoal Efetivo do Tribunal de Contas do Estado e dá outras providências, extingue cargos efetivos, consolida o quadro de pessoal, e dá outras providências. (SEI 10481-0100/21-4)",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
187,alrs:institui-o-aux-lio-creche-no-,alrs,pl,1,2026,Institui o auxílio-creche no âmbito do Tribunal de Contas do Estado do Rio Grande do Sul e dá outras providências.,4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
188,alrs:institui-no-mbito-do-estado-d,alrs,pl,1,2026,Institui no âmbito do Estado do Rio Grande do Sul a Rota dos Butiazais e dá outras providências. (SEI 4734.0100/21-0),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
189,alrs:disp-e-sobre-as-atribui-es-e-,alrs,pl,1,2026,Dispõe sobre as atribuições e a estrutura da Agência Estadual de Regulação dos Serviços Públicos Delegados do Rio Grande do Sul - AGERGS e dá outras providências. (Prazo Fatal: 12/12/2024),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
190,alrs:cria-o-programa-de-implementa-,alrs,pl,1,2026,Cria o Programa de Implementação da Terceira Faixa em rodovias estaduais no Rio Grande do Sul. (SEI 8129-0100/22-0),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
191,alrs:altera-a-lei-n-15-667-de-22-,alrs,pl,1,2026,"Altera a Lei nº 15.667, de 22 de julho de 2021, que autoriza o Departamento Autônomo de Estradas de Rodagem – DAER/RS – a transferir ao Município de Campo Bom a titularidade de segmento da rodovia ERS-239. (SEI 8504-0100/21-8)",2,structural,"[{""group"": ""trabalhadores_informais"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.88}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
192,alrs:estabelece-crit-rios-de-transp,alrs,pl,1,2026,"Estabelece critérios de transparência para a cobrança de dívidas dos consumidores gaúchos, e dá providências correlatas. (SEI 3159-0100/23-8)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
193,alrs:institui-a-semana-maria-da-pen,alrs,pl,1,2026,"Institui a Semana Maria da Penha nas Escolas, a ser realizada anualmente no mês de novembro no Estado do Rio Grande do Sul.(SEI 5906.0100/20-6)",3,structural,"[{""group"": ""educacao_estudantes"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:educacao_estudantes | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
194,alrs:institui-incentivos-ao-desenvo,alrs,pl,1,2026,Institui Incentivos ao Desenvolvimento do Cicloturismo no Estado do Rio Grande do Sul.(SEI 1792-0100/21-4),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
195,alrs:altera-a-lei-n-14-688-de-29,alrs,pl,1,2026,"Altera a Lei n.º 14.688, de 29 de janeiro de 2015, que institui o Plano de Cargos, Carreiras e Vencimentos e reorganiza o Quadro de Pessoal Efetivo da Assembleia Legislativa do Estado do Rio Grande do Sul e dá outras providências, a Lei n.º 15.791, de 6 de janeiro de 2022, que dispõe sobre a manutenção dos vencimentos dos servidores da Assembleia Legislativa do Estado do Rio Grande do Sul, e dá ou",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
196,alrs:institui-o-uso-da-bengala-verd,alrs,pl,1,2026,"Institui o uso da bengala verde como instrumento auxiliar de orientação, apoio, mobilidade e identificação de pessoas diagnosticadas com baixa visão no Estado do Rio Grande do Sul. (SEI 8926-01.00/21-0)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
197,alrs:disp-e-sobre-a-explora-o-dire,alrs,pl,1,2026,"Dispõe sobre a exploração direta ou mediante concessão dos serviços locais de gás canalizado de que trata o art. 25, § 2º, da Constituição da República Federativa do Brasil de 1988, estabelece os princípios, as diretrizes e as normas relativas ao referido serviço no Estado do Rio Grande do Sul e altera a Lei nº 8.109, de 19 de dezembro de 1985, que institui a Taxa de Serviços Diversos. (SEI 3406-0",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
198,alrs:altera-a-lei-n-15-322-de-25,alrs,pl,1,2026,"Altera a Lei n.º 15.322, de 25 de setembro de 2019, que Institui a Política de Atendimento Integrado à Pessoa com Transtorno do Espectro Autista no Estado do Rio Grande do Sul. (SEI 3915-0100/21-9)(Tramitação conjunta com PL 454/21)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
199,alrs:altera-a-lei-n-12-831-de-13-,alrs,pl,1,2026,"Altera a Lei nº 12.831, de 13 de novembro de 2007, que autoriza o Poder Executivo a doar imóvel ao Município de Maximiliano de Almeida.",2,structural,"[{""group"": ""micro_pequenos_empreendedores"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.88}]",INVALID_TAXONOMY_GROUP:micro_pequenos_empreendedores | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
200,alrs:institui-o-selo-emfrente-mulh,alrs,pl,1,2026,"Institui o Selo EmFrente, Mulher no âmbito do Estado do Rio Grande do Sul e dá providências.(SEI 000010810-01.00/22-0)",3,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:3->2 | WRONG_STRUCTURAL_TYPE:structural->symbolic,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|231|2022"", ""severity"": 2, ""structural_type"": ""symbolic"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
201,alrs:disp-e-sobre-as-diretrizes-de-,alrs,pl,1,2026,Dispõe sobre as diretrizes de incentivo às entidades que desenvolvem e fomentam o esporte amador no Estado do Rio Grande do Sul e dá outras providências.(SEI 14166-01.00/23-5),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
202,alrs:disp-e-sobre-cria-o-de-promot,alrs,pl,1,2026,"Dispõe sobre criação de Promotorias de Justiça e cargos de Promotor de Justiça, na Lei n.º 7.669, de 17 de junho de 1982 – Lei Orgânica do Ministério Público do Estado do Rio Grande do Sul, e criação de cargos no Quadro de Pessoal de Provimento Efetivo e no Quadro de Cargos em Comissão e Funções Gratificadas da Procuradoria-Geral de Justiça – Serviços Auxiliares do Ministério Público do Estado do",3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
203,alrs:institui-o-cresce-rs-na-assemb,alrs,pl,1,2026,Institui o Cresce/RS na Assembleia Legislativa do Estado do Rio Grande do Sul. (SEI 5235-0100/21-0),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
204,alrs:altera-a-lei-n-12-903-de-14-,alrs,pl,1,2026,"Altera a Lei n° 12.903, de 14 de janeiro de 2008, que dispõe sobre a comercialização de produtos ópticos e o licenciamento do comércio varejista e de prestação de serviços de produtos ópticos e afins no Estado do Rio Grande do Sul.",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
205,alrs:altera-a-lei-n-8-821-de-27-d,alrs,pl,1,2026,"Altera a Lei nº 8.821, de 27 de janeiro de 1989, que institui o Imposto sobre a Transmissão Causa Mortis e Doação, de quaisquer bens ou direitos, e a Lei nº 12.200, de 29 de dezembro de 2004, que cria o Fundo de Modernização e Reaparelhamento da Secretaria da Fazenda do Estado do Rio Grande do Sul - FUNSEFAZ/RS, e dá outras providências. (Prazo Fatal: 12/12/2024)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
206,alrs:institui-o-plano-estadual-de-e,alrs,pl,1,2026,Institui o Plano Estadual de Enfrentamento aos Feminicídios no Estado do Rio Grande do Sul e dá outras providências.,4,structural,"[{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.95}]",MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | WRONG_SEVERITY:4->3,KEEP_CORRECTED,"{""canonical_key"": ""alrs|pl|214|2025"", ""severity"": 3, ""structural_type"": ""structural"", ""assessments"": [{""group"": ""mulheres"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]}"
207,alrs:disp-e-sobre-o-aux-lio-entre-m,alrs,pl,1,2026,Dispõe sobre o auxílio entre Municípios do Estado do Rio Grande do Sul afetados por catástrofes naturais. (SEI 14293-01.00/23-0),4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
208,alrs:disp-e-sobre-a-inclus-o-do-tem,alrs,pl,1,2026,"Dispõe sobre a inclusão do tema “Educação Financeira” nas propostas pedagógicas dos estabelecimentos de ensino fundamental e de ensino médio, públicos e privados do Estado do Rio Grande do Sul. (SEI 4450-0100/21-9)",3,budgetary,"[{""group"": ""saude_usuarios_sus"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:saude_usuarios_sus | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
209,alrs:disp-e-sobre-extin-o-e-cria-,alrs,pl,1,2026,Dispõe sobre extinção e criação de cargos no Quadro de Pessoal do Poder Judiciário do Estado do Rio Grande do Sul e dá outras providências. (SEI 15964-0100/23-2),3,structural,"[{""group"": ""servidores_publicos"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.92}]",INVALID_TAXONOMY_GROUP:servidores_publicos | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
210,alrs:disp-e-sobre-a-publiciza-o-do,alrs,pl,1,2026,"Dispõe sobre a publicização dos relatórios de vistorias técnicas realizadas em rodovias, viadutos, pontes e passarelas no âmbito do Estado do Rio Grande do Sul, e dá outras providências. (SEI 10921-01.00/21-4)",4,structural,"[{""group"": ""meio_ambiente_clima"", ""impact_direction"": ""positive"", ""defending_vote"": ""sim"", ""confidence"": 0.9}]",INVALID_TAXONOMY_GROUP:meio_ambiente_clima | MALFORMED_PROPOSITION_IDENTITY:number=1/year=2026_placeholder | HEURISTIC_TEMPLATE_RATIONALE | NO_MATCH_TO_CURRENT_APPROVED_IMPACT_MATRIX,WITHHOLD_PENDING_EDITORIAL_REVIEW,
